,job_title,company_name,location,hiring_status,date,seniority_level,job_function,employment_type,industry,salary_min,salary_max,company_size,applicants_count,experience_required_years
18919,Full Stack Developer,Dragon Army,United States,Be an early applicant,2023-03-29,Entry level,Engineering and Information Technology,Full-time,Wellness and Fitness Services,,220018.0,3686.0,291.0,14.0
18920,Office Manager,,"Melbourne, Victoria, Australia",Be an early applicant,2023-04-04,Not Applicable,Administrative,Full-time,Spectator Sports,134804.0,172543.0,709.0,19.0,0.0
18921,"
            
        AWS Architect
      
          ","
            Diverse Lynx
          ","
            Waukesha, WI
          ","
         Be an early applicant
      ",2023-03-01,"
            Mid-Senior level
          ","
            Engineering and Information Technology
          ","
          Full-time
        ","
          Software Development
          ",197266.0,224282.0,1548.0,345.0,9.0
18922,"
            
        Senior Business Manager in MNC Life Insurance
      
          ",,"
            Bellary, Karnataka, India
          ","
         Be an early applicant
      ",2023-03-01,,,,,,215970.0,1267.0,289.0,
18923,Content Editor,OANDA,"London, England, United Kingdom",Be an early applicant,2023-04-04,Mid-Senior level,"Marketing, Public Relations, and Writing/Editing",Full-time,Financial Services,,176680.0,503.0,451.0,13.0
18924,Full Stack Developer,impulse.brussels,"Newport Beach, CA",Be an early applicant,2023-03-28,Entry level,Engineering and Information Technology,Full-time,Defense and Space Manufacturing,,199582.0,4129.0,,1.0
18925,"Chatbot Developer | Machine Learning Engineer - Silicon Valley, USA - Blockchain, Web3 and Metaverse Startup - Bangalore, India",TASSETS,"Bengaluru, Karnataka, India",Be an early applicant,2023-02-23,Entry level,Engineering and Information Technology,Contract,Blockchain Services,52549.0,60088.0,2854.0,,8.0
18926,"
            
        Executive Assistant
      
          ","
            Methods
          ","
            London, England, United Kingdom
          ","
         Actively Hiring
      ",2023-03-13,"
            Mid-Senior level
          ","
            Administrative
          ","
          Full-time
        ","
          Real Estate
          ",154946.0,182364.0,3853.0,345.0,4.0
18927,Business Manager - Refractories,Veolia Australia and New Zealand,"Queensland, Australia",Be an early applicant,2023-04-03,Not Applicable,Sales and Business Development,Full-time,Government Administration,125541.0,157236.0,2697.0,14.0,6.0
18928,"Senior Scientist (R3), AI/ML Molecular Drug Design",Merck,"South San Francisco, CA",Actively Hiring,2023-02-17,Associate,"Research, Analyst, and Information Technology",Full-time,"Research Services, Biotechnology Research, and Pharmaceutical Manufacturing",79392.0,104275.0,3211.0,306.0,14.0
18929,"
            
        Project Manager
      
          ","
            Confidential
          ","
            United States
          ","
         Actively Hiring
      ",2023-02-24,"
            Not Applicable
          ","
            Project Management and Information Technology
          ","
          Full-time
        ","
          IT Services and IT Consulting
          ",71028.0,119359.0,2973.0,,8.0
18930,Product Designer � Enterprise Products (Bangkok-based),Agoda,"Sydney, New South Wales, Australia",Be an early applicant,2023-04-27,Mid-Senior level,"Design, Art/Creative, and Information Technology",Full-time,"Technology, Information and Internet",114264.0,141423.0,4109.0,292.0,7.0
18931,General Manager,BaxterStorey,"Coventry, England, United Kingdom",Be an early applicant,2023-03-21,Not Applicable,Management and Manufacturing,Full-time,Food and Beverage Services,63678.0,79872.0,2451.0,437.0,4.0
18932,DeFi Engineer - Rust & Solidity [Remote],Braintrust,"Munich, Bavaria, Germany",Be an early applicant,2023-04-18,Entry level,Engineering and Information Technology,Full-time,"Technology, Information and Internet",113533.0,123080.0,145.0,,8.0
18933,F & I Business Manager,FLB Automotive Recruitment Pty Ltd,"Campbelltown, New South Wales, Australia",Be an early applicant,2023-04-28,Not Applicable,Sales and Business Development,Full-time,Government Administration,28486.0,63418.0,3939.0,194.0,
18934,"
            
        Azure Architect
      
          ","
            CGI
          ","
            Bengaluru, Karnataka, India
          ","
         Be an early applicant
      ",2023-03-29,"
            Mid-Senior level
          ","
            Engineering and Information Technology
          ","
          Full-time
        ","
          Staffing and Recruiting
          ",30614.0,37518.0,1959.0,88.0,3.0
18935,Graphic Designer - Located in New York (Part Time),Cavallo Point Lodge,"New York, NY",Be an early applicant,2023-04-19,Full-time,,,,48517.0,65024.0,2934.0,364.0,9.0
18936,"
            
        Zivame - Manager - Social Media
      
          ","
            Zivame
          ","
            Bengaluru, Karnataka, India
          ","
         Actively Hiring
      ",2023-03-10,"
            Mid-Senior level
          ","
            Marketing and Sales
          ","
          Full-time
        ","
          Real Estate
          ",39249.0,75915.0,1185.0,483.0,0.0
18937,Data Science/ Analyst- Professional Internship Program,Eightfold Institute of Australia,"Melbourne, Victoria, Australia","
         Actively Hiring
      ",2023-04-17,Entry level,Engineering and Information Technology,Full-time,Staffing and Recruiting,57806.0,103064.0,,234.0,
18938,"
            
        Data Analyst
      
          ","
            Barclays
          ","
            Chennai, Tamil Nadu, India
          ","
         Actively Hiring
      ",2023-03-14,"
            Entry level
          ","
            Information Technology
          ","
          Full-time
        ",,165067.0,170161.0,3663.0,394.0,10.0
18939,HR Generalist,Red Carrot,"Alexandria, VA","
         Actively Hiring
      ",2023-04-07,Entry level,Human Resources,Full-time,Internet Publishing,,192477.0,1361.0,94.0,7.0
18940,"
            
        Expression of Interest: Entry Level Software Developer
      
          ","
            Fingerprint for Success (F4S)
          ","
            Australia
          ","
         Actively Hiring
      ",2023-03-17,"
            Not Applicable
          ","
            Engineering
          ","
          Full-time
        ","
          Technology, Information and Internet
          ",132905.0,161389.0,3037.0,280.0,10.0
18941,"
            
        Data Scientist
      
          ","
            Workplace Options
          ","
            Bengaluru, Karnataka, India
          ","
         Actively Hiring
      ",2023-02-19,"
            Mid-Senior level
          ","
            Engineering and Information Technology
          ","
          Full-time
        ","
          Technology, Information and Internet
          ",167331.0,172466.0,2926.0,76.0,5.0
18942,"
            
        Software Developer (INDIA)
      
          ","
            Trexquant Investment LP
          ","
            Gurugram, Haryana, India
          ","
         Actively Hiring
      ",2023-02-12,"
            Entry level
          ","
            Engineering and Information Technology
          ","
          Full-time
        ","
          Information Services
          ",28371.0,76078.0,,270.0,7.0
18943,"
            
        Software Developer
      
          ","
            Mindgate Solutions
          ","
            Navi Mumbai, Maharashtra, India
          ","
         Be an early applicant
      ",2023-03-22,"
            Entry level
          ","
            Engineering and Information Technology
          ","
          Full-time
        ","
          Staffing and Recruiting
          ",168376.0,216730.0,3306.0,4.0,9.0
18944,"
            
        Deputy Dean / Sr. Director - Office of Academic Affairs
      
          ","
            Ashoka University
          ","
            Sonipat, Haryana, India
          ","
         Actively Hiring
      ",2023-03-22,"
            Not Applicable
          ","
            Product Management and Marketing
          ","
          Full-time
        ","
          Transportation, Logistics, Supply Chain and Storage
          ",70398.0,84906.0,1764.0,101.0,
18945,Research Analyst/Programmer I (526820),San Jose State University,"San Jose, CA",Be an early applicant,2023-04-14,Mid-Senior level,"Research, Analyst, and Information Technology",Full-time,Higher Education,45866.0,83739.0,4709.0,,12.0
18946,"
            
        Billing Specialist
      
          ","
            AECOM Energy
          ","
            Shanghai, Shanghai, China
          ","
         Be an early applicant
      ",2023-02-12,"
            Mid-Senior level
          ","
            Administrative
          ","
        
          Employment type
        
        
          Full-time
        
      ","
          Pharmaceutical Manufacturing
          ",125866.0,138649.0,3667.0,,6.0
18947,Sr. Decision Scientist,ZipRecruiter,"Palo Alto, CA",Be an early applicant,2023-04-15,Not Applicable,Engineering and Information Technology,Full-time,Software Development,192250.0,225883.0,843.0,307.0,12.0
18948,Data Scientist,"Systems Planning and Analysis, Inc.","Canberra, Australian Capital Territory, Australia",Be an early applicant,2023-03-28,Entry level,Engineering and Information Technology,Full-time,Staffing and Recruiting,118212.0,153338.0,2124.0,446.0,6.0
18949,???????????/?????/??????????,,"Hiroshima, Hiroshima, Japan",Be an early applicant,2023-04-11,Entry level,Engineering and Information Technology,Full-time,Human Resources Services,82006.0,128885.0,1816.0,,5.0
18950,"
            
        Executive Assistant
      
          ","
            Acin
          ","
            Farnborough, England, United Kingdom
          ","
         Be an early applicant
      ",2023-02-16,"
            Associate
          ","
            Administrative
          ","
          Full-time
        ","
          Technology, Information and Internet
          ",59566.0,,2977.0,,4.0
18951,"
            
        DevOps Engineer
      
          ","
            Persistent Systems
          ","
            Bengaluru, Karnataka, India
          ","
         Actively Hiring
      ",2023-03-23,"
            Associate
          ","
            Engineering and Information Technology
          ","
          Full-time
        ","
          IT Services and IT Consulting
          ",149498.0,197533.0,511.0,74.0,10.0
18952,Python Developer,Morse Micro,"Sydney, New South Wales, Australia","
         Actively Hiring
      ",2023-02-27,Mid-Senior level,Engineering and Information Technology,Full-time,IT Services and IT Consulting,54437.0,94069.0,4333.0,446.0,11.0
18953,Lead Data Scientist,Arine,"San Francisco, CA",Actively Hiring,2023-02-12,Mid-Senior level,Engineering and Information Technology,Full-time,"Technology, Information and Internet",187306.0,197487.0,1880.0,65.0,11.0
18954,"
            
        Brand Manager
      
          ","
            Cipla
          ","
            Mumbai, Maharashtra, India
          ","
         Actively Hiring
      ",2023-03-13,"
            Associate
          ","
            Marketing and Sales
          ","
          Full-time
        ","
          Pharmaceutical Manufacturing
          ",129191.0,137632.0,3889.0,197.0,11.0
18955,General Manager,Unite Students,"Coventry, England, United Kingdom",Be an early applicant,2023-02-09,Executive,Management and Manufacturing,Part-time,Hospitality,71988.0,82252.0,47.0,50.0,
18956,Graphic Design and After Effects/Motion Graphics,Light & Wonder,"Sydney, New South Wales, Australia",Actively Hiring,2023-03-30,Entry level,"Design, Art/Creative, and Information Technology",Full-time,Construction,128456.0,162178.0,866.0,,13.0
18957,Business Analyst III,Elevance Health,"Indiana, United States",Be an early applicant,2023-04-07,Mid-Senior level,"Research, Analyst, and Information Technology",Full-time,Hospitals and Health Care,54317.0,71506.0,2044.0,72.0,
18958,Senior Business Analyst,Jean Edwards Consulting,"Brighton, England, United Kingdom",Actively Hiring,2023-04-17,Mid-Senior level,Information Technology,Full-time,IT Services and IT Consulting and Biotechnology Research,83200.0,128975.0,4979.0,128.0,
18959,"Senior Professional, Data Scientist",CoreLogic,"Irvine, CA",Actively Hiring,2023-04-06,Mid-Senior level,Engineering and Information Technology,Full-time,Information Services,52131.0,71524.0,,35.0,9.0
18960,Full Stack Developer,GrenoSearch India Pvt. Ltd.,"Bangalore Urban, Karnataka, India",Actively Hiring,2023-02-28,Entry level,Engineering and Information Technology,Full-time,IT Services and IT Consulting,91011.0,106131.0,1391.0,112.0,4.0
18961,"
            
        Vice President - Corporate Information Management (Corporate Services)
      
          ","
            Morgan Stanley
          ","
            Mumbai, Maharashtra, India
          ","
         Actively Hiring
      ",2023-02-28,"
            Not Applicable
          ","
            Information Technology
          ","
          Full-time
        ","
          Financial Services, Investment Banking, and Investment Management
          ",128109.0,135429.0,4317.0,251.0,11.0
18962,"
            
        AWS Architect
      
          ","
            Diverse Lynx
          ","
            Lowell, MA
          ","
         Be an early applicant
      ",2023-03-01,"
            Mid-Senior level
          ","
            Engineering and Information Technology
          ","
          Contract
        ","
          Software Development
          ",59947.0,103158.0,3471.0,387.0,
18963,QA Engineer Remote Euro (Fintech),Turn Block Talent,"Berlin, Berlin, Germany","
         Be an early applicant
      ",2023-01-17,Mid-Senior level,Information Technology,Full-time,Information Services and Software Development,168167.0,191027.0,4811.0,40.0,6.0
18964,Senior Product Manager (Global Remote),Passion.io,"London, England, United Kingdom",Actively Hiring,2023-02-26,Mid-Senior level,Product Management and Marketing,Full-time,"Technology, Information and Internet",171319.0,220003.0,,206.0,
18965,Global SEO Content Writer,ThoughtSpot,"Bengaluru North, Karnataka, India",Actively Hiring,2023-04-11,Entry level,"Marketing, Public Relations, and Writing/Editing",Full-time,Software Development,,189489.0,,270.0,11.0
18966,"
            
        Software Engineer
      
          ","
            Turquoise Health
          ","
            New York, NY
          ",Actively Hiring,2023-03-16,"
            Entry level
          ","
            Engineering and Information Technology
          ","
          Full-time
        ","
          Technology, Information and Internet
          ",186931.0,,1291.0,191.0,
18967,Senior Data Scientist,Recruiting from Scratch,"Dublin, CA",Be an early applicant,2023-02-28,Mid-Senior level,Engineering and Information Technology,Full-time,Staffing and Recruiting,134917.0,175272.0,3410.0,284.0,6.0
18968,PRODUCTION PROCESS ENGINEER - NAVI MUMBAI,Prime Placement,"Thane, Maharashtra, India",Be an early applicant,2023-03-22,Entry level,Management and Manufacturing,Full-time,Staffing and Recruiting,100969.0,113338.0,4248.0,108.0,4.0
18969,"
            
        AI/ML Engineer
      
          ","
            Presien
          ","
            Eveleigh, New South Wales, Australia
          ",Be an early applicant,2023-03-14,"
            Not Applicable
          ","
            Engineering and Information Technology
          ","
          Full-time
        ","
          Industrial Automation
          ",124451.0,168475.0,592.0,45.0,14.0
18970,General Manager Strategic Planning Jet2holidays,Gyllstr�m Kommunikationsbyr� AB,"Leeds, England, United Kingdom",Be an early applicant,2023-03-30,Director,"Management, Engineering, and Business Development",Full-time,Construction and Civil Engineering,83444.0,105772.0,3539.0,165.0,7.0
18971,AWS Database Engineer,Cocolevio LLC,"Austin, TX",Be an early applicant,2023-04-13,Entry level,Information Technology,Full-time,IT Services and IT Consulting,189092.0,230226.0,2050.0,220.0,14.0
18972,Legal Counsel,IBM,"Mumbai, Maharashtra, India",Actively Hiring,2023-04-25,Mid-Senior level,Legal,Full-time,"Online Audio and Video Media, Technology, Information and Internet, and Internet Publishing",104040.0,150923.0,88.0,454.0,
18973,Business Manager,anzuk Executive,"Maryborough, Victoria, Australia",Be an early applicant,2023-04-06,Not Applicable,Sales and Business Development,Full-time,Government Administration,71367.0,93101.0,3777.0,457.0,13.0
18974,"
            
        Legal Counsel & Director Legal Technologies
      
          ","
            Spencer Reed Group
          ","
            Kansas City Metropolitan Area
          ","
         Be an early applicant
           +5 benefits
      ",2023-03-21,"
            Mid-Senior level
          ","
            Legal
          ","
          Full-time
        ","
          IT Services and IT Consulting and Financial Services
          ",44981.0,,,201.0,1.0
18975,"
            
        Executive Assistant to CEO
      
          ","
            Holiferm
          ","
            Manchester, England, United Kingdom
          ","
         Be an early applicant
      ",2023-03-03,"
            Mid-Senior level
          ","
            Administrative
          ","
          Full-time
        ","
          Medical Practices
          ",65791.0,115480.0,,435.0,12.0
18976,Fullstack Developer (MERN Stack),TedrooX Technologies,"Bengaluru North, Karnataka, India","
         Be an early applicant
      ",2022-08-22,Entry level,Engineering and Information Technology,Full-time,IT Services and IT Consulting,175604.0,204485.0,4879.0,384.0,3.0
18977,Entry-Level Software Engineer | Learn to Code | Melbourne,_nology,"Melbourne, Victoria, Australia",Be an early applicant,2023-04-03,Mid-Senior level,Engineering and Information Technology,Part-time,Internet Publishing,,64601.0,261.0,365.0,2.0
18978,Argenbright Group - Legal Counsel,Argenbright Group,"Gurugram, Haryana, India",Be an early applicant,2023-03-31,Executive,Legal,Full-time,Staffing and Recruiting,75028.0,122537.0,3783.0,304.0,11.0
18979,Enzen - Senior Content Writer - Knowledge Studio Team,Enzen Global Solutions,"Bengaluru, Karnataka, India",Be an early applicant,2023-03-24,Mid-Senior level,Marketing,Full-time,"Oil Extraction, Natural Gas Extraction, and Oil and Gas",42918.0,60425.0,2192.0,130.0,5.0
18980,"
            
        Project Manager
      
          ","
            Sempera
          ","
            Denver Metropolitan Area
          ","
         Actively Hiring
      ",2023-02-23,"
            Mid-Senior level
          ","
            Project Management and Information Technology
          ","
          Full-time
        ","
          Internet Publishing
          ",,57582.0,3120.0,408.0,3.0
18981,Camera Editor,Paramount Australia & New Zealand,"Mount Coot-Tha, Queensland, Australia",Be an early applicant,2023-04-03,Mid-Senior level,"Production, Art/Creative, and Writing/Editing",Full-time,Broadcast Media Production and Distribution,154152.0,202054.0,3736.0,67.0,6.0
18982,Product Manager,Artemis Talent Group Ltd,"London, England, United Kingdom",Actively Hiring,2023-04-20,Mid-Senior level,Product Management and Marketing,Full-time,IT Services and IT Consulting,44040.0,67434.0,820.0,1.0,14.0
18983,Product Manager,Maxwell Bond�,"Manchester, England, United Kingdom",Actively Hiring,2023-04-06,Mid-Senior level,Product Management and Marketing,Full-time,"Technology, Information and Internet",173707.0,187328.0,892.0,100.0,2.0
18984,Embedded Test Engineer,Actalent,"Indianapolis, IN",Be an early applicant,2023-03-29,Entry level,Engineering and Information Technology,Full-time,Business Consulting and Services,29205.0,49471.0,3248.0,175.0,11.0
18985,TEXTER / KONZEPTIONER / CONTENT WRITER (M/W/D),Rotwild GmbH,"Cologne, North Rhine-Westphalia, Germany",Be an early applicant,2023-04-04,Entry level,Marketing,Full-time,Advertising Services,147662.0,179259.0,1390.0,126.0,2.0
18986,Director of Bloom Scholars Program,Valparaiso University,"Valparaiso, IN",Be an early applicant,2023-03-09,Director,Business Development and Sales,Full-time,Higher Education,181330.0,,4965.0,36.0,8.0
18987,Java / Angular Full Stack Software Developer / Entwickler,Jobs via eFinancialCareers,"Zurich, Zurich, Switzerland",Be an early applicant,2023-01-31,Entry level,Engineering and Information Technology,Full-time,Staffing and Recruiting,98711.0,128787.0,999.0,38.0,10.0
18988,"
            
        Product Owner
      
          ","
            eTeam
          ","
            Richardson, TX
          ","
         Be an early applicant
      ",2022-11-29,"
            Director
          ","
            Product Management and Marketing
          ","
          Full-time
        ","
          Staffing and Recruiting
          ",95998.0,142993.0,1708.0,,
18989,General Manager - Cardiff,HRM Direct,"Caerphilly, Wales, United Kingdom",Be an early applicant,2023-03-31,Executive,Management and Manufacturing,Full-time,Staffing and Recruiting,155813.0,162651.0,637.0,363.0,8.0
18990,"
            
        DX4D Executive Assistant/Team Administrator
      
          ","
            UK Ministry of Defence
          ","
            London Area, United Kingdom
          ","
         Actively Hiring
      ",2023-03-07,"
            Associate
          ","
            Administrative
          ","
          Full-time
        ","
          Construction
          ",174035.0,182876.0,3675.0,,10.0
18991,"Writer Editor  - Relocate to Saudi Arabia, Permanent Expat Family Relocation Package",aramco,"England, United Kingdom",Actively Hiring,2023-04-03,Mid-Senior level,Marketing and Writing/Editing,Full-time,Oil and Gas,,94458.0,2653.0,56.0,3.0
18992,"
            
        Sales Representative
      
          ","
            Jackson Oil & Solvents, Inc.
          ","
            Indianapolis, IN
          ","
         Be an early applicant
      ",2023-03-03,"
            Entry level
          ","
            Sales and Business Development
          ","
          Full-time
        ","
          Oil and Gas
          ",163278.0,190215.0,,202.0,13.0
18993,"
            
        Executive Assistant to the CEO
      
          ","
            Ariadne
          ","
            Munich, Bavaria, Germany
          ","
         Be an early applicant
      ",2023-02-06,"
            Associate
          ","
            Administrative
          ","
          Full-time
        ","
          Technology, Information and Internet
          ",98601.0,143517.0,541.0,,10.0
18994,Copywriter for eCommerce Projects (Part Time),J. Tillman Consulting,"London, England, United Kingdom","
         Be an early applicant
      ",2023-03-29,Not Applicable,Marketing,Contract,Advertising Services,73921.0,99632.0,571.0,371.0,
18995,Business Growth Manager - Rent Roll Aquisitions,Gough Recruitment,"Sydney, New South Wales, Australia",Be an early applicant,2023-04-17,Not Applicable,Sales,Part-time,Personal Care Product Manufacturing and Manufacturing,,76220.0,,393.0,11.0
18996,Freelance Engineering Content Writer,Wevolver,Germany,Be an early applicant,2023-02-19,Entry level,"Marketing, Public Relations, and Writing/Editing",Part-time,"Medical Equipment Manufacturing, Computer Hardware Manufacturing, and Wellness and Fitness Services",141378.0,160065.0,,88.0,5.0
18997,Frontend Engineer,Koinex,"Bengaluru North, Karnataka, India",Be an early applicant,2023-02-23,Entry level,Engineering and Information Technology,Full-time,"Technology, Information and Internet",51312.0,98247.0,4060.0,364.0,4.0
18998,Jr. Software Developer / Full Stack Developer,iTriangle Infotech Pvt Ltd,"Bengaluru East, Karnataka, India",Be an early applicant,2023-02-14,Associate,Engineering and Information Technology,Full-time,IT Services and IT Consulting,,156203.0,1012.0,,10.0
18999,Copywriter.,Upstox,"Mumbai, Maharashtra, India",Be an early applicant,2023-02-14,Entry level,"Marketing, Public Relations, and Writing/Editing",Full-time,Staffing and Recruiting,78770.0,117158.0,4271.0,,3.0
19000,"
            
        Data Analyst - Python
      
          ","
            Alchemy Techsol
          ","
            Bengaluru, Karnataka, India
          ","
         Be an early applicant
      ",2023-03-16,"
            Entry level
          ","
            Information Technology
          ","
          Full-time
        ",,134142.0,156738.0,,186.0,9.0
19001,Entry level,healthybaby,"Manhattan, NY",Be an early applicant,2023-03-28,,"Marketing, Public Relations, and Writing/Editing",Contract,"Technology, Information and Internet",194805.0,214701.0,2337.0,209.0,13.0
19002,Mechanical Engineer,Orbis Systems US,"Carrollton, TX",Be an early applicant,2023-04-07,Entry level,Information Technology,Full-time,IT Services and IT Consulting,160915.0,203119.0,,434.0,
19003,Web UI IoT ReactJS Developer,Diverse Lynx,"Irving, TX",Be an early applicant,2023-03-10,Entry level,Engineering and Information Technology,Full-time,Software Development,173240.0,178294.0,13.0,272.0,13.0
19004,Software Engineer,SENSE Corporation,"Canberra, Australian Capital Territory, Australia",Be an early applicant,2023-04-20,Mid-Senior level,"Engineering, Information Technology, and Consulting",Contract,"IT Services and IT Consulting, Defense and Space Manufacturing, and Armed Forces",36719.0,63178.0,1855.0,242.0,7.0
19005,"
            
        Regional Sales Director, Account Executive
      
          ","
            SharpenCX
          ","
            Indianapolis, IN
          ","
         Be an early applicant
      ",2023-02-24,"
            Director
          ","
            Sales and Business Development
          ","
          Full-time
        ","
          Software Development
          ",185230.0,224949.0,830.0,332.0,
19006,"
            
        Executive Assistant to CEO
      
          ","
            Malaberg
          ","
            London, England, United Kingdom
          ","
         Be an early applicant
      ",2023-03-03,"
            Mid-Senior level
          ","
            Administrative
          ","
          Full-time
        ","
          Retail Health and Personal Care Products
          ",43243.0,60814.0,3691.0,485.0,13.0
19007,Motor Control Firmware Engineer,Halliburton,"Elkhart County, IN",Be an early applicant,2023-03-16,Entry level,Engineering and Information Technology,Full-time,Oil and Gas,78474.0,117703.0,4149.0,480.0,13.0
19008,"Technology Writer (Freelance, Remote)",Hire Digital,Australia,Be an early applicant,2023-03-29,Mid-Senior level,"Marketing, Public Relations, and Writing/Editing",Contract,Human Resources Services,168925.0,217608.0,1353.0,291.0,
19009,"Embedded / Semiconductor Engineer // Bay Area, CA (Onsite)","Tanisha Systems, Inc","Richardson, TX",Be an early applicant,2023-03-03,Entry level,Engineering,Contract,IT Services and IT Consulting,62919.0,91916.0,906.0,299.0,12.0
19010,Blockchain Engineer,Electron Labs,"Faridabad, Haryana, India",Be an early applicant,2022-07-22,Mid-Senior level,Engineering and Information Technology,Full-time,"Technology, Information and Internet",197774.0,228417.0,4706.0,243.0,9.0
19011,"
            
        Shyam Steel Hiring Office Assistant - Back Office Job in Kolkata
      
          ","
            Shyam Steel Industries Limited
          ","
            Raniganj, Bihar, India
          ","
         Be an early applicant
      ",2023-02-27,"
            Entry level
          ","
            Administrative
          ","
          Full-time
        ","
          Staffing and Recruiting
          ",167977.0,180563.0,269.0,309.0,13.0
19012,"
            
        python developer
      
          ","
            GM Infotech
          ","
            Pune, Maharashtra, India
          ","
         Actively Hiring
      ",2023-02-20,"
            Entry level
          ","
            Engineering and Information Technology
          ","
          Full-time
        ","
          Banking, Financial Services, and Accounting
          ",96061.0,119746.0,3499.0,441.0,2.0
19013,Executive Assistant to CEO,South Motors Group,"Miami, FL",Be an early applicant,2023-04-20,Mid-Senior level,Administrative,Full-time,"Technology, Information and Internet",,113912.0,2891.0,,4.0
19014,"
            
        Full-stack Engineer
      
          ","
            Qoala
          ","
            Gurugram, Haryana, India
          ",Be an early applicant,2023-02-19,"
            Not Applicable
          ","
            Engineering
          ","
          Full-time
        ","
          Technology, Information and Internet
          ",117223.0,125811.0,,164.0,2.0
19015,Area Sales Manager - Personal Care,Yo Hr Consultancy,"Chennai, Tamil Nadu, India",Be an early applicant,2023-02-19,Mid-Senior level,Sales and Business Development,Full-time,Staffing and Recruiting,103554.0,,2098.0,383.0,14.0
19016,"Data Scientist - South Brisbane, QLD",Flight Centre Travel Group,"Brisbane, Queensland, Australia",Be an early applicant,2023-04-28,Entry level,Engineering and Information Technology,Full-time,Staffing and Recruiting,48905.0,82187.0,4620.0,135.0,
19017,HR Generalist - Pittsburgh,Resulticks,"Pittsburgh, PA",Be an early applicant,2023-04-11,Entry level,Human Resources,Full-time,Hospitals and Health Care,,174601.0,3524.0,111.0,10.0
19018,Senior Personal Assistant | Tax & Legal | Sydney FTC,,"Sydney, New South Wales, Australia",Be an early applicant,2023-04-24,Mid-Senior level,Administrative,Full-time,Staffing and Recruiting,158876.0,199354.0,,435.0,9.0
19019,"
            
        Personal Assistant / Secretary (Fluent English)
      
          ","
            Glan Management Consultancy- Career, Jobs, Hiring
          ","
            Delhi, Delhi, India
          ","
         Be an early applicant
      ",2023-01-27,"
            Entry level
          ","
            Administrative
          ","
          Full-time
        ","
          Staffing and Recruiting
          ",102114.0,129495.0,980.0,331.0,10.0
19020,Vice President - Retail,Capgemini,"London, England, United Kingdom",Be an early applicant,2023-03-26,Executive,Sales and Business Development,Full-time,IT Services and IT Consulting,62169.0,69383.0,853.0,424.0,6.0
19021,Backend Software Engineer,Hang,"Los Angeles, CA",Be an early applicant,2022-12-13,Entry level,Engineering and Information Technology,Full-time,"Technology, Information and Internet",59403.0,89271.0,4334.0,158.0,9.0
19022,"
            
        HR Generalist
      
          ","
            Antal International
          ","
            Chennai, Tamil Nadu, India
          ","
         Actively Hiring
      ",2023-02-27,"
            Mid-Senior level
          ","
            Human Resources
          ","
          Full-time
        ","
          Staffing and Recruiting
          ",,133795.0,4951.0,470.0,
19023,?????????????????? ???????????G/????/???????,,"Osaka, Osaka, Japan",Be an early applicant,2023-02-07,Entry level,Information Technology and Engineering,Full-time,Human Resources Services,33535.0,,221.0,21.0,8.0
19024,"
            
        Associate Attorney
      
          ","
            Aldridge Pite, LLP
          ","
            Tempe, AZ
          ","
         Be an early applicant
      ",2023-03-11,"
            Entry level
          ","
            Legal
          ","
          Full-time
        ","
          Law Practice
          ",174240.0,191219.0,2365.0,139.0,12.0
19025,Journalist,Prime Creative Media - Publishing,"Docklands, Victoria, Australia",Actively Hiring,2023-04-20,Entry level,"Marketing, Public Relations, and Writing/Editing",Contract,Accounting,195542.0,242643.0,,278.0,5.0
19026,Product Manager,Spectrum IT Recruitment,"London, England, United Kingdom",Actively Hiring,2023-03-31,Mid-Senior level,Product Management and Marketing,Full-time,"Technology, Information and Internet and Consumer Services",55114.0,72451.0,4806.0,321.0,14.0
19027,"
            
        Software Engineer
      
          ","
            Zigsaw
          ","
            India
          ","
         Be an early applicant
      ",2023-01-26,"
            Entry level
          ","
            Engineering and Information Technology
          ","
          Full-time
        ","
          Staffing and Recruiting
          ",193723.0,228538.0,2796.0,203.0,
19028,Product Manager,Movement8,"South Wimbledon, England, United Kingdom",Be an early applicant,2023-03-23,Mid-Senior level,Management and Manufacturing,Full-time,Internet Publishing,,148429.0,1740.0,170.0,
19029,"
            
        Senior UX/UI Designer - NO REMOTE
      
          ","
            DonTouch SA
          ","
            Chiasso, Ticino, Switzerland
          ","
         Be an early applicant
      ",2023-02-10,"
            Entry level
          ","
            Other
          ","
          Full-time
        ","
          Advertising Services
          ",178572.0,198702.0,1885.0,285.0,11.0
19030,"Artificial Intelligence / Machine Learning, level 5",Whizdom Recruitment,"Canberra, Australian Capital Territory, Australia",Be an early applicant,2023-04-03,Mid-Senior level,Engineering and Information Technology,Part-time,Internet Publishing,112181.0,159996.0,3455.0,85.0,5.0
19031,"
            
        Business Development Executive
      
          ","
            VOC Automotive India Private Limited
          ","
            Bengaluru, Karnataka, India
          ","
         Actively Hiring
      ",2023-04-03,"
            Associate
          ","
            Sales
          ","
          Full-time
        ","
          Pharmaceutical Manufacturing
          ",,224789.0,4293.0,148.0,0.0
19032,Senior Machine Learning Researcher - Biomedical and Precision Medicine,Lawrence Livermore National Laboratory,"Livermore, CA",Actively Hiring,2023-04-11,Mid-Senior level,Engineering,Full-time,Research,154757.0,172065.0,3212.0,49.0,12.0
